image_name,points,xi,yi,xw,yw
192.168.20.101_01_20250728142001401.jpeg,5,1166.0,753.0,239.4,99.8
192.168.20.101_01_20250728142301834.jpeg,1,1026.0,760.0,200.7,124.4
192.168.20.101_01_20250728142301834.jpeg,2,772.0,565.0,200.7,241.0
192.168.20.101_01_20250728142301834.jpeg,3,929.0,511.0,278.3,241.1
192.168.20.101_01_20250728142301834.jpeg,4,1173.0,670.0,278.3,124.2
192.168.20.101_01_20250728142301834.jpeg,5,971.0,617.0,239.7,182.1
192.168.20.101_01_20250728142635635.jpeg,1,749.0,549.0,200.0,253.3
192.168.20.101_01_20250728142635635.jpeg,2,585.0,416.0,201.0,369.8
192.168.20.101_01_20250728142635635.jpeg,3,732.0,384.0,278.5,369.3
192.168.20.101_01_20250728142635635.jpeg,4,909.0,499.0,277.7,252.4
192.168.20.101_01_20250728142635635.jpeg,5,740.0,455.0,239.4,311.2
192.168.20.101_01_20250728143031792.jpeg,1,583.0,416.0,200.7,371.3
192.168.20.101_01_20250728143031792.jpeg,2,474.0,325.0,200.8,488.0
192.168.20.101_01_20250728143031792.jpeg,3,603.0,300.0,278.2,487.8
192.168.20.101_01_20250728143031792.jpeg,4,730.0,382.0,278.6,371.0
192.168.20.101_01_20250728143031792.jpeg,5,595.0,351.0,239.7,429.6
192.168.20.101_01_20250728143337689.jpeg,1,521.0,365.0,200.5,431.7
192.168.20.101_01_20250728143337689.jpeg,2,431.0,290.0,200.1,548.4
192.168.20.101_01_20250728143337689.jpeg,3,551.0,268.0,277.7,548.8
192.168.20.101_01_20250728143337689.jpeg,4,659.0,337.0,278.4,431.9
192.168.20.101_01_20250728143337689.jpeg,5,538.0,311.0,239.3,490.1
192.168.20.101_01_20250728143735620.jpeg,1,1053.0,536.0,310.5,204.9
192.168.20.101_01_20250728143735620.jpeg,2,857.0,411.0,312.6,321.4
192.168.20.101_01_20250728143735620.jpeg,3,976.0,385.0,390.1,320.3
192.168.20.101_01_20250728143735620.jpeg,4,1165.0,493.0,388.2,203.4
192.168.20.101_01_20250728143735620.jpeg,5,1011.0,450.0,350.5,262.5
192.168.20.101_01_20250728144054317.jpeg,1,905.0,434.0,317.0,295.4
192.168.20.101_01_20250728144054317.jpeg,2,745.0,338.0,317.6,411.8
192.168.20.101_01_20250728144054317.jpeg,3,859.0,318.0,395.3,411.5
192.168.20.101_01_20250728144054317.jpeg,4,1020.0,404.0,394.8,294.6
192.168.20.101_01_20250728144054317.jpeg,5,881.0,369.0,346.4,353.4
192.168.20.101_01_2025072814435975.jpeg,1,828.0,390.0,316.0,345.8
192.168.20.101_01_2025072814435975.jpeg,2,688.0,305.0,316.5,462.3
192.168.20.101_01_2025072814435975.jpeg,3,800.0,287.0,394.0,462.0
192.168.20.101_01_2025072814435975.jpeg,4,944.0,364.0,393.5,345.2
192.168.20.101_01_2025072814435975.jpeg,5,813.0,333.0,355.1,403.8
192.168.20.101_01_20250728144726375.jpeg,1,725.0,323.0,320.1,433.8
192.168.20.101_01_20250728144726375.jpeg,2,611.0,257.0,319.1,550.5
192.168.20.101_01_20250728144726375.jpeg,3,714.0,241.0,396.4,551.0
192.168.20.101_01_20250728144726375.jpeg,4,836.0,303.0,397.8,434.1
192.168.20.101_01_20250728144726375.jpeg,5,719.0,278.0,358.4,492.3
192.168.20.101_01_20250728145428978.jpeg,1,165.0,452.0,20.4,437.9
192.168.20.101_01_20250728145428978.jpeg,2,138.0,357.0,20.7,554.5
192.168.20.101_01_20250728145428978.jpeg,3,262.0,323.0,98.3,554.5
192.168.20.101_01_20250728145428978.jpeg,4,318.0,408.0,98.0,437.6
192.168.20.101_01_20250728145428978.jpeg,5,217.0,379.0,59.5,496.1
192.168.20.101_01_20250728150059720.jpeg,1,1442.0,767.0,319.3,30.5
192.168.20.101_01_20250728150059720.jpeg,2,1184.0,601.0,319.4,147.3
192.168.20.101_01_20250728150059720.jpeg,3,1280.0,548.0,397.0,147.3
192.168.20.101_01_20250728150059720.jpeg,4,1506.0,687.0,397.0,30.3
192.168.20.101_01_20250728150059720.jpeg,5,1356.0,646.0,358.3,88.9
